playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JK4JHCCPDJP4AE98TKDHMDYH,677ba20f661b72b390923c44,1.86,TRUE,01JK4H0V6VD5AZR3C6BXT8MZH2,24,Male,Learn each others descriptions then simplify,"Yes, it was fun simplifying our descriptions and working together",Easy to play and navigate,high-school,NA
01JK4JHQG80WTCSNF66R2WNRZM,63dd3dd2593c92be97d8dbde,1.86,TRUE,01JK4H0V6VD5AZR3C6BXT8MZH2,21,male,Just to optimize our explanations. ,I really enjoyed it as we both had the same strategy. ,,high-school,NA
01JK4K4XQJMAP5JV93WNB1M8AE,677c2511d4cf1ad7cfb66211,0,TRUE,01JK4K1J4ESMAQ8APEQ0QZX73M,42,Male,complex,"No, they were unresponsive ",N/A,bachelor,NA
01JK4HAWQP0Z99ZX615X593EWT,64d53aae0f3f7317f6eb617e,NA,TRUE,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,nogame
01JK4HR57C040377HC6MYY927Z,671553eab4731f1988663441,0,TRUE,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,nogame
01JK4J34PF80APMYNDM1HH6GGN,660ea3da676d777f83383aab,NA,NA,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,NA
01JK4JXWY8R1BH6B72W8M0WNYP,671736b13de114a142238632,1.47,TRUE,01JK4KCG91Y658MZF9HV6KKWGD,NA,NA,NA,NA,NA,NA,nogame
01JK4M0YDXCPCTJP2NYQ7J4CG4,67450332cf48b0c68abf0c16,NA,TRUE,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,nogame
01JK4H6MQYXBAG9D83WE9866ZD,65b9040092404ebf54f1f3e2,NA,TRUE,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,nogame
01JK4JFN4Q1GEZ0DA9ENTTBEJT,609eda349f5d29975fbc2145,NA,TRUE,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,nogame
01JK4KGGE04Y117DR421HYRH22,5b5a822e1ad8270001c4f28d,1.47,TRUE,01JK4KCG91Y658MZF9HV6KKWGD,43,Male,It was a mental focusing game.,I very much enjoyed. He responded quite well ,,high-school,NA
01JK4KK28PMW51SKBRRRZY5ARD,5f276d8f38b9f857f5cebf21,NA,NA,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,NA
01JK4KXQ35DSFCF973VAP9Z5ZM,675cb9909873757b9cfecc94,NA,TRUE,01JK4KSPE6E60QZSVKEG63809V,NA,NA,NA,NA,NA,NA,nogame
01JK4J768Q3V1780BCAP3BWH4K,6294cced417fa0a733ba14a4,0,NA,01JK4K1J4ESMAQ8APEQ0QZX73M,NA,NA,NA,NA,NA,NA,NA
