playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JH9T1DMHW38XPS69FTNV9BGR,674d66e3cddfc84397165fc4,1.56,TRUE,01JH9SGAXY80Q61E4V3J2PWF19,52,male,giving correct and clear description to my partner,"yes, I enjoyed playing the game. We understood ourselves as the game progressed",none,master,NA
01JH9TAY4QFFHTSCFZD8QJ6XC1,674d1de73e0f8aad13b7c668,NA,NA,01JH9VN50YWG54N7E5XRD63T32,NA,NA,NA,NA,NA,NA,NA
01JH9TQHJBK9FPKTXSMDVZ4QSZ,6679e9e155f1b9a85492399f,1.71,TRUE,01JH9SGMA5SQW06Q2RHZM566J9,54,Female,To describe the top and the bottom of the target shape.,"Yes, it was fun to get into a rhythm with my partner.","The game seemed to freeze up a couple of times. And one time, it wasn't letting me select the shape even though I was clicking on it.",master,NA
01JH9TWZBKBAQ9978XRDW1BT0H,67595fc59f004d86b17e1a6e,1.59,TRUE,01JH9VBFDGM47W1W3QSJ9HDKW9,35,Male,"very funny  and smart, i enjoyed this game","i over enjoyed it, i love my partner",no issues.,master,NA
01JH9TYKSBS0KV5YERP1SDQDG8,6631b0617c0f0c282cb9966d,NA,NA,01JH9VN50YWG54N7E5XRD63T32,NA,NA,NA,NA,NA,NA,NA
01JH9VB22T7SR1HMYMN9AY1GXX,64c9892e8e7e06812b775c0c,1.77,TRUE,01JH9SG39H578XJ3P04Z8MFRKQ,49,female,"Tried to think of easily recognizable among everyone things to describe the item. Also watched for descriptions used by co-player, as well as re-using my description for properly guessed items",Once I realized the symbols were repeating and we could use matching descriptions it made it less stressful and more enjoyable and easier,"There should have been a practice round, I was feeling all what the heck?! the first couple rounds.",bachelor,NA
01JH9SXJ3Y98XSVNVW60M5AYCF,659efc83b9591e73cd37405d,1.92,TRUE,01JH9SGDWVBQGVH0A8WK0YXR7R,22,female,once we got the flow of things the strategy was to use the same words as my partner and be clear and short with descriptions,"yes I enjoyed it, once we got into the flow of things it was really fun and It felt like we were in sync","the only problems were with lagging, I think it was the game because my partner chatted the same thing when I said that I was lagging. ",bachelor,NA
01JH9T8JH1VN8QZXJP41Q57EW1,677da382fc987131e4405470,1.71,TRUE,01JH9SGMA5SQW06Q2RHZM566J9,55,Male,Good,Yes i did,Not at all,bachelor,NA
01JH9V41JYA319YAH4E6GF3D60,673eb573dfd253898b0bab9d,1.56,TRUE,01JH9SG6RQ5PT1CRXPH2DDTEVN,27,male,To establish a pattern with the partner of things you can do to eliminate the ones that aren't the correct one.,I did after they understood the game. They very obviously did not read the instructions and I had to explain to them what to do.,"The person I was playing with was absolutely clueless the first 6 or so rounds. They kept trying to tell me the location of the image despite the instructions explicitly stating they aren't the same amongst the two roles. After they learned the game they were an excellent partner, although I question whether or not they were actually a fluent Native English speaker, as they kept misspelling the same words that any native speaker would know.",high-school,NA
01JH9SSMX5A6PET00AWZYSJ82M,6100da65dc8b1fc2f236424e,1.83,TRUE,01JH9SGD2D84H6QRD39YNK7Q94,27,F,keeping it simple,"Yes, as we made phrases for each shape ",,master,NA
01JH9T0GNXPDXANCE56DFPNW6F,6543b0b5203e223a1e94f00b,NA,NA,01JH9VN50YWG54N7E5XRD63T32,NA,NA,NA,NA,NA,NA,NA
01JH9VA2NKTKEMFYFCX0BKBNB0,58c84d506d1c600001a09319,1.47,TRUE,01JH9SG5T4Q3ZQ4H2N2EHSQGEP,34,male,"I think first few rounds were trial and error. We had to quickly establish a ""common language"" where we could easily understand what we were saying.",Yes. They seemed to understood and caught on.,,bachelor,NA
01JH9WS9PG5N7QKRASEVEM4T6W,5ee6b265fbccd3435939df90,NA,NA,01JH9VN50YWG54N7E5XRD63T32,NA,NA,NA,NA,NA,NA,NA
01JH9SKWKK66GCZNJRTB4653TK,678118f3fab3fd65e54ae7aa,0,TRUE,01JH9SGKFEJ4J3SWDMRZA4QK72,NA,NA,NA,NA,NA,NA,nogame
