age,gender,native_language,race,education,player_id
NA,unknown,NA,NA,NA,1
NA,unknown,NA,NA,NA,2
NA,unknown,NA,NA,NA,3
NA,unknown,NA,NA,NA,4
NA,unknown,NA,NA,NA,5
NA,unknown,NA,NA,NA,6
NA,unknown,NA,NA,NA,7
NA,unknown,NA,NA,NA,8
NA,unknown,NA,NA,NA,9
NA,unknown,NA,NA,NA,10
NA,unknown,NA,NA,NA,11
NA,unknown,NA,NA,NA,12
NA,unknown,NA,NA,NA,13
NA,unknown,NA,NA,NA,14
NA,unknown,NA,NA,NA,15
NA,unknown,NA,NA,NA,16
NA,unknown,NA,NA,NA,17
NA,unknown,NA,NA,NA,18
NA,unknown,NA,NA,NA,19
NA,unknown,NA,NA,NA,20
