playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JHR4YFXAFJF3YB2NQ7T1Q6J2,678849b6c6dc53d1ddc9f611,1.23,TRUE,01JHR43073B4WBGWCZ0BAJ2A12,19,Female,Making a pattern we both would remember ,Yeah ,,high-school,NA
01JHR4G6W2YYRRGAREEFB9DYXP,66335c3dc5b215aeed3eea0f,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JHR4RS4482NPE9JWEY0TJHZZ,67859a03ea2514f946c8589c,1.68,TRUE,01JHR4319P5FKEPZASK9GBP3RC,23,Male,you look at your directors description to determine mine ,yes as we went on we were able to get to understand each others description ,Sometime i have the description in mind but my hand fails me,master,NA
01JHR4QBYHWQSKKMHBK0M0RQ7A,676bb9e2e033baea8c7e596c,1.17,TRUE,01JHR4323Y4DCEJMDAQ67ENPQT,38,female,strong,yes,none,master,NA
01JHR5Y88W637J0Q6Q5EFZWCD4,664b4e67b2d33f6aa5fa6209,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JHR4ME9MDSJ2T41R2WFF7T09,673c5dcf6f78c6392cc62496,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JHR4KM8DBN222DGEB6KA9E6X,6788f0877bd7ce507d1ca16c,1.56,TRUE,01JHR42W325AWTV0C44Z9NM6R5,20,female,comunication,yeah very much,no problem very smooth game,bachelor,NA
01JHR56RZZNVMVHDHB8VJF5JVG,673c5dcf6f78c6392cc62496,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JHR6T3M0NPGHWE1R7S40KRAZ,66abaa647f6453a36c665a37,0,TRUE,01JHR5R1DKAQQV0VBSEYV1S3XQ,NA,NA,NA,NA,NA,NA,nogame
01JHR4Y6K64DRRE5E8YVZCBEZ8,62bd42b72c2ccddf753b655b,1.71,TRUE,01JHR42ZN6K3AHQ2FK7EMJTDCS,61,female,we decided what to call certain shapes and tried to use the same words consistently,very much. Partner was helpful and seemed on par with me. ,thanks for the opportunity. It was fun :) ,bachelor,NA
01JHR4ZRMBEZHFEA48YB22G9QK,6458fe267afe71c7aa4de260,1.83,TRUE,01JHR42ZY69TQ33RY95E4NP23W,42,Female,We ended up calling shapes different names to make it easier,"Yes I enjoyed playing with my partner, I feel like we understood each other",The game froze once but after refreshing it worked again,high-school,NA
01JHR5098NACZZKVP8CNSZ3JWW,60013656ecea2e2862d4b7a7,1.71,TRUE,01JHR42ZN6K3AHQ2FK7EMJTDCS,42,male,simple words,yes. we seemed to have an understanding after a while,no problems,high-school,NA
01JHR5FEA7TC51V7G4MTZ1DSN6,6023f94d1951e70ae21770ec,1.17,TRUE,01JHR4323Y4DCEJMDAQ67ENPQT,37,male,trust person with negative iq,partner seems on drugs,,bachelor,NA
01JHR5TX1DRMSB7168BRBBAHBQ,6779f6c08ec54f1186b5e7b5,1.68,TRUE,01JHR43HE3FBS8DAZWTFH5C4KX,25,MALE,ITS TOP NOTCH. once you get a hang of it,yes,it lagged and frooze till end of that trial,bachelor,NA
