game_id,rep_num,trial_num,image_id,text_de,text_en
1,1,1,base_04,"o.k. auf der Nummer 1 habe ich eine Figur, die aussieht wie eine Schlittschuhläuferin",o.k. on number 1 I have a figure that looks like a skater
1,1,2,base_01,2 ist so eine Figur die die so eine Art Hampelmann macht also beide arme waagerecht raus streckt. Die 2 ist so ein äh sieht aus wie ein Engel beide Hände gehen waagerecht nach aussen. Die Arme Also die 2 ist jemand äh der Oberkörper ist wie ein Trapez Ja? Er hat also beide Arme gleich waagerecht hinaus,2 is such a figure which makes such a kind of Hampelmann so both poor horizontally out stretches. The 2 is such an ah looks like an angel both hands go horizontally to the outside. The arms So the 2 is someone erm the upper body is like a trapezoid Yes? So he has both arms equal horizontally out
1,1,3,base_06,Figur 3 sieht so aus als würde sie gerade Basketball spielen.,Figure 3 looks like she's playing basketball right now.
1,1,4,base_08,4 ist ähm wahrscheinlich ein äh ähm so ähm ein Priester der irgendwie so gerade so eine Schüssel in der Hand hat Ja auf den Knien mit einer Schüssel in der Hand,"4 is probably, uh, a priest who somehow just has a bowl in his hand Yes on his knees with a bowl in his hand"
1,1,5,base_02,Ja? 5? 5 der liegt auf dem Boden und hat die Füsse hinten gegen oben und v. und die Arme streckt er vor  sich 5 da liegt jemand am Boden. Nein nein die 5 28 und mit den Armen äh nein die Beine nach oben Ist gut? o.k.,Yes? 5? 5 who lies on the ground and has the feet in the back towards the top and v. and the arms in front of him 5 there is someone lying on the ground. No no the 5 28 and with the arms uh no the legs up Is good? ok.
1,1,6,base_07,6 ist ähm eine gebückte Gestalt. Also jemand der älter ist,6 is a bent figure. So someone older is
1,1,7,base_05,7 ist äh wahrscheinlich ein Aerobiktänzer  Ist gut? 7 ist ja ein Arm rauf und der andere runter,7 is probably an aerobic dancer Is good? 7 is one arm up and the other one down
1,10,73,close_03,1 das Marienmännchen,1 the lady's man
1,10,74,close_06,Die 2 der Behinderte,The 2 of the disabled
1,10,75,close_07,3 das gebückte Männchen da das,3 the bent male as the
1,10,76,close_04,Ja äh die 4 ist der Basketball Preller da.,"Yeah, the four is the basketball peller."
1,10,77,close_05,Die 5 äh ist das diagonale Männchen,The 5 uh is the diagonal male
1,10,78,close_08,6 ist der Priester,6 is the priest
1,10,79,close_01,Die 7 das Trapezmännchen,The 7 the trapezoidal male
1,10,80,close_02,Und die 8 liegend,And the 8 lying
1,11,81,close_05,1 der Diagonale,1 of the diagonal
1,11,82,close_07,2 der Alte,2 of the old
1,11,83,close_02,3 der liegende,3 of the
1,11,84,close_08,4 der Priester,4 of the priests
1,11,85,close_01,5 das Trapezmännchen,5 the trapezoidal male
1,11,86,close_06,6 der Behinderte,6 of the disabled
1,11,87,close_03,7  der aufrecht Sitzende,7 the upright end of the seat
1,11,88,close_04,8 der Preller,8 of the preller
1,12,89,close_02,1 liegend,1 in lieu
1,12,90,close_07,2 der Alte,2 of the old
1,12,91,close_04,3 der prellende,3 of the oscillating
1,12,92,close_06,4 der Behinderte,4 of the disabled
1,12,93,close_08,5 der Priester,5 of the priests
1,12,94,close_03,6 die Maria,6 Mary
1,12,95,close_01,7 das Trapezmännchen,7 the trapezoidal male
1,12,96,close_05,Und 8 der Diagonale,And 8 of the diagonal
1,2,9,base_01,Also die 1 ist das Männchen das beide Arme auf die Seite raus streckt.,So the 1 is the male that stretches both arms out to the side.
1,2,10,base_03,Die 2 ist Jawohl Ja genau Ja. Die 2 ist ein Männchen das sitzt und so als ob es Rumpfbeugen machen würde,The 2 is Yes Yes Yes Yes Yes Yes. The 2 is a male that sits and as if it would make torso bends
1,2,11,base_02,Die 3 ist das Männchen das liegt und die Beine in die Luft  gestreckt werden,The 3 is the male that lies and the legs are stretched into the air
1,2,12,base_04,Die 4 ist der Eiskunstläufer,The 4 is the figure skater
1,2,13,base_05,Die 5 ist das Männchen das ein Arm nach oben und ein Arm nach unten hält,The 5 is the male holding one arm up and one arm down
1,2,14,base_07,Die 6 ist das gebückte Männchen 47  M Ja,The 6 is the bowed male 47 M Yes
1,2,15,base_08,Die 7 ist der der betet mit der Schüssel in der Hand,The 7 is the one who prays with the bowl in his hand
