playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JHKNCRKW5XQ0Z93VA3GYR51X,6768094bc9d2fb5856b858fd,1.59,TRUE,01JHKN9ZRQXD8M2QH4QE8AYW46,22,Female ,Tactical communication with analysis of object ,"Yes, I enjoyed the game. Thumbs up. Especially the conversation ",Such an insightful study looking forward to taking more surveys ,bachelor,NA
01JHKNK006FN8PXDZ64V0GEBNB,66c4b74d931c3645ea42fcdc,0,NA,01JHKNA04HBKQHZZ8DBQ8ZTBC6,NA,NA,NA,NA,NA,NA,NA
01JHKNVD47DQ4HSZQ4ZB8S2NQ8,674f68dde0df9b7d0cc274d9,0,TRUE,01JHKNA04HBKQHZZ8DBQ8ZTBC6,27,male,no comment,not really because the time was too limited,no comment,master,NA
01JHKNCRXJWB57CMW0A9RAAGZ2,675db7a33ad1590aeb624fda,NA,NA,01JHKNA0JAR6XT707HSV502H1S,NA,NA,NA,NA,NA,NA,NA
01JHKNFF60X6HSAVMF3C889MWB,6411493f08fd400dc0d5eacc,0,TRUE,01JHKNA085CN6DZZFB3E4Y1B2Q,NA,NA,NA,NA,NA,NA,nogame
01JHKNRJPQH5SWDVEZ29SJGMCX,677b664023d3e85a3a5d1a21,1.59,TRUE,01JHKN9ZRQXD8M2QH4QE8AYW46,20,male,good,yes,no problem,bachelor,NA
01JHKNC56GHSJ2099M2BA1SZ1J,5dad4c34b3446a0015e3de93,1.86,TRUE,01JHKN9S19518NS7AEVR073WB1,32,Male,"After we came up with a name or each shape, we just typed that name each round to quickly find the one we needed.","Yes, my partner selected the correct shape every round!","It took a little bit to load a few of the rounds, but overall everything worked properly.",high-school,NA
01JHKNCRDX6JP6CR33KFJWPMQM,6705565ffd67124adcd513ec,1.86,TRUE,01JHKN9VCY86V93CN49CA5BBCD,35,male,the strategy was to besiege the given thing as best as possible to your accomplice who guesses,yes of course it was interesting,everything was great,master,NA
01JHKPYN5PPS5NKD5ZW16Q6NB3,676d087186fcc3fffa7abe74,0,TRUE,01JHKNA085CN6DZZFB3E4Y1B2Q,33,male,i tried my best  ,"no, he wasn't responding at all ",it would have been a fun game but my partner was not responding ,bachelor,NA
01JHKNBRZPKQQT7FPCDZTM27AF,676a19dfc34ce8dac8d6fba4,1.8,TRUE,01JHKN9QCJS7PK6P582R98YJP2,25,F,,,,bachelor,NA
01JHKNC1WSJDAP77HDF459DKW9,6785ddd46043d24d92eef91c,NA,NA,01JHKNA0JAR6XT707HSV502H1S,NA,NA,NA,NA,NA,NA,NA
