prolificID,bonus
55cd5ed834e90600108d1f13,1.89
5ae9cde00335e200019e9eed,1.83
672a6c5c85d7815827cc8794,1.89
66e0c0a1fab28ce6352ae19c,1.86
5eaa956e7df877012afbff38,1.83
6103adf779d6468e50941433,1.89
5efb3a0a35685a063b0c0174,1.92
6718b506c509178a825f5069,1.77
6668082a8ead616ec1d2c825,1.92
6729578b15d6c664eed51bad,1.77
5eb29fdddac67500082c1089,1.86
656e2178178ffccdaa472518,1.83
6364c680c75f0a035ba3abff,1.86
6750ff9565bcce1cc16a0ae3,1.53
5ebf26027133b517a31908dd,1.89
614de785b8b89e4aba599f03,1.83
65c8fb1c79ffe418b57e7d29,1.83
570570eb61ab6a0010d484d0,1.83
58d3c97d42648b0001f21cc4,1.8
6692a3a4a73dc4328bad2160,1.53
63fd47c7fd2e70aebe6f6dbc,1.83
5b8011a80a67ca0001cc3f9b,1.92
5fc8a956800c80232e0b7a32,1.83
60fce2b44ebca15c11986adf,1.83
5c97f7ed18a759001648027a,1.83
5bd7cde93dac81000124bb7b,1.83
6107b81f125c20be9e368b49,1.83
66a8f239f705eed353903370,1.83
643466ccb8e9bb0350af3cbb,1.86
67842c00a41569b3fecc94e8,1.83
66a3cf5c2aa7d68edac13f18,1.8
6705d14b9d83b8a4d08b9248,1.92
