prolificID,bonus
67636d9a9b413ee6c8f5439f,1.83
5b90a114f0a0970001f6dd6e,1.83
677058bb73f6dd06e978ac12,1.74
664674ebd7787eac6920e2b8,1.8
637e1d5ac58ad3caea4f3446,1.71
668f001eec70799cd2a77cef,1.8
5c5409f49fcbc40001dc0b4d,1.74
5dced33fc944d1018c53c520,1.89
66d20fa042cbb1493937d46d,1.68
6679d3b8699020041be9df42,1.8
6629403703006358e9ccd905,1.65
653d6967561059011cba09d3,1.71
65254cc05ced6cfb4384c6fc,1.77
5f6660dbdd831c230e132024,1.68
6095e4f37b49956d05961a4b,1.8
67432a7f375b1cccc44d850e,1.77
6742d74e9f7b3b029a3791a6,1.65
66f6102a875caca1a379b991,1.68
5f485c765324cf1ed7d564cd,1.68
6739909cd20e7e7fcf711ef7,1.89
