playerID,prolificID,bonus,exitStepDone,gameID,gamefailed,age,gender,strategy,enjoy,feedback,education
01JH8WP66DMDKKTMM5T9ZW1CWQ,6780c3178241b43d69877cd8,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH8WSGKN5BX9GS8F6A5438QR,677fb0575d12e76b9f87fa23,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH8YJEPA0E4A8PA9XY9RX28B,674eeef65812e1477d0429a5,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JH8WX3MB40W9NS2S38AE9V20,62aa33eec600b41d4dc4b4e8,1.83,TRUE,01JH8W4NN2MQK62HEAS7B81WAA,NA,27,Male,Describe concisely and accurately,It was fine,,other
01JH8WYH4EQJSWTJTB1WR0FRVK,67645a8359ebabb5492f4df1,1.77,TRUE,01JH8WGGTV4MBJGVZWK2ZTEP3G,NA,,,,,,high-school
01JH8X0ZKADB8G2FH61BWGRE7Z,664cd1c6545aa0f362493dd9,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH8X4Q8403S3Z04H840P3D7C,64ff8f28eb8d29f0814080fa,1.77,TRUE,01JH8WGGTV4MBJGVZWK2ZTEP3G,NA,20,female,trying to describe every shape in the object and giving more information if partner took a bit long to pick,yes as simple and quick. However sometimes took too long or would not respond.,n/a,high-school
01JH8XKTXQKE7WVJ4G0XQF832Q,6713edf459846149d7bcc948,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JH8XZ95K9GSSCBP9GQ2JCG32,59e7276d5de9b000017ed1c1,1.77,TRUE,01JH8X9NXEH44B0QFWNV12FM33,NA,42,male,using minimal descriptive words for things that resemble familiar shapes and physical objects.,yes I enjoyed my time and got into a good flow. We nailed many of the shapes.,No problems. Was fun.,other
01JH8WQ4G7TSMCC0FCTABVWZY7,647003e9da103f564525356f,0.03,NA,01JH8W4FC1HS5KSAXDKT8CTXFV,NA,NA,NA,NA,NA,NA,NA
01JH8WVSDWTTRQ3WY4XGWD2GXP,675ee5417939b562847a48cc,0,TRUE,01JH8W4FC1HS5KSAXDKDY3GJ15,NA,26,female,finding words to describe the icons,no.,reloading frequently,master
01JH8WWN81YHPREJXWGT03GZJV,6780c0a1fa790bea4d4dd460,0.03,NA,01JH8W4FC1HS5KSAXDKT8CTXFV,NA,NA,NA,NA,NA,NA,NA
01JH8XGPKG9BNC8MYMXZ7NEQCD,5eecc3030b80bb07acc14c28,1.83,TRUE,01JH8X608BZSQF21W5Q0DTMHTG,NA,24,male,Fun,"yes, we undertood one another very quickly and was nice to be on the same wavelength ",great experience!,bachelor
01JH8YFF2W3SWFC5SPNNWN74MK,65b918d4a314afdb09f86c77,1.77,TRUE,01JH8X9NXEH44B0QFWNV12FM33,NA,23,Female,I usually described specific shapes or features that did not appear on the other shapes or compared the shape to a real life object/figure,I enjoyed playing with my partners because they were very responsive and gave good descriptions,,bachelor
01JH8WQ4QPM9J85RXSYF9DR33S,5e861df738c39d06857faa81,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH8WS6CDX5XM5HYAA6E9CGV0,67812c5eaee116e2a9b2bdaa,1.92,TRUE,01JH8W4NN2MQK62HEARTH2913J,NA,27,Male,We found one designating factor in each image to quickly type in.,"I did have a lot of fun with the person I played with! We kept things simple and didn't try to over complicate things. The only kinda tricky one was ""Pram"" but after that we were very in sync.",,high-school
01JH8XWKG5TM0PHFN1M5PJJA5Z,6638f4ddbb20d81b9e600ef1,1.74,TRUE,01JH8WGGTWE355WC9FZ6X27HES,NA,37,,speedy collaboration,simplicity,none,master
01JH8WP11M7TGHV3X5NKDXVBXW,5f3ac1732efa0a74f975b1a8,1.47,TRUE,01JH8W4NN4FR3VRQWN91H3DDHQ,NA,30,female,Try to find words that we could use to get them right the first time.,"Yes, we had some difficulties but when we started to find key words to describe the images.",none,high-school
01JH8WQ3PCPJZ6JZ536VHGT2H3,672cc16c5a063972e91dff05,0.18,NA,01JH8W4FC0G69RAQYXQ8RMGYWE,NA,NA,NA,NA,NA,NA,NA
01JH8WW97B5A0JXK1T48S247SX,6725f77711c3a00a7fb17781,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH8X87YHMXGEXYSBK43V3SXJ,672a7f9d8707643377841d77,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JH8WTWRY8SDZA9SGV7BEMG24,63469da3cef76cc5b3523b97,1.83,TRUE,01JH8W4NN2MQK62HEAS7B81WAA,NA,32,female,learn how the other person describes thins and use their words/ make it as short as possible,yeah i feel like in the end we were really in sync,,bachelor
01JH8WEB71RZ3PYKKQMNK01T84,66706c66421d9d62312ca575,0,NA,01JH8WGGTV4MBJGVZWJR9HYVSB,NA,NA,NA,NA,NA,NA,NA
01JH8X6CJ08XEA4KEY9VRWSNSQ,67593335dee749db683beb3c,1.74,TRUE,01JH8WGGTWE355WC9FZ6X27HES,NA,72,male,basic understanding,yes,no problem,master
01JH8XGR72J2B6AGE79ABX39WH,62fd14d7b1e0729dc8aadb79,0.18,TRUE,01JH8W4FC0G69RAQYXQ8RMGYWE,NA,32,Male,"Descripe things outside of the main image e.g. small triangles, diamonds","No. They didn't read the rules, didn't speak english coherently, didn't respond to my messages, and wasted my time by taking the full 1 minute on each round without even picking an option","Hi

My partner on this game firstly didn't read the instructions correctly, secondly doesn't speak english coherently. thirdly was replying very slowly, fourthly has stopped replying mid-game completely

This means my game will take a minimum of 64 minutes (1 minute per round, 64 questions).  I'm currently more than 20 minutes in and no longer receiving responses 

Please can you look into it and make sure they don't get compensated? Thanks",bachelor
01JH8WNH3TYFQ42B68MF61DJQB,677e4c8b3ed4eb493403b3da,0,TRUE,01JH8W4FC1HS5KSAXDKDY3GJ15,NA,31,Female,no strategy,no.. its complex,i didnt know how to go about it .. ,bachelor
