playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JH6EFSJBEHY9TA4782TSSNX7,6659cf8d91296da481cf3be9,1.74,TRUE,01JH6E12CWGXQF2B41B59YQN0N,19,Male,Mention the objects that don't appear in the other images.,"Yep. I think he was British because he called me ""mate"" (haha). Also used easy-to-follow instructions.",N/A,high-school,NA
01JH6EDCRPMMP0TZSFS592H1YJ,663e929092792ce7e3516434,1.86,TRUE,01JH6E12CYJK257E7E3RXVEBQK,24,F,I remembered ways I had described things to my partner that they got correct and kept using them until we both had shorthand ways to describe all of the objects.,Yes. I felt close to and warm towards my partner as we kept playing and understanding each other. ,Makes me think of the psychological experiment where two people from diverse backgrounds have to work together to complete a common goal and they end up feeling much warmer towards each other than they ever normally would,master,NA
01JH6EER7BKC0S385P3KFZTDRA,6780050de20afb62db94d8ab,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH6E9N7GMFHE539DP5PKP7GT,62cbf0028db66fbb9a89e1ca,1.92,TRUE,01JH6E12CYJK257E7E3BVNY8KC,30,Male,Describe most obvious features,"Yes i did, we managed to get all correct",Was good,bachelor,NA
01JH6EB99PG4BV8ZPRK2XTJ9JB,675298fade6c8db5c86ed5a7,NA,NA,01JH6ER00NSAMMFKBBS8V3SDG4,NA,NA,NA,NA,NA,NA,NA
01JH6EKDF4C2A4EXCQ4KADMJG4,665c6d5618baa7f9455039b3,NA,TRUE,null,NA,NA,NA,NA,NA,NA,nogame
01JH6E73Q9S1WSVRTG8D0NXV7R,63d527ae9b43e76122f00224,1.74,TRUE,01JH6E12CWGXQF2B41B59YQN0N,25,male,looking for obvious shapes at corners or obvious overall shape,yes it was direct and punctual mostly,,high-school,NA
01JH6EAZQAB8JV5ZBQJF38JJ64,677d343f512e31df8016a8f3,NA,NA,01JH6ER00GR9S8WB6DM17V41FP,NA,NA,NA,NA,NA,NA,NA
01JH6EE07RJH19M5EDFMA5E0K6,63616ac9601c2ac49b1cc4af,0.63,NA,01JH6E1C2DWXZEMQ1NCYN91YQD,NA,NA,NA,NA,NA,NA,NA
01JH6F574WP0SZKEN1DPSE22J9,6643d66f7e843f95379c2949,1.65,TRUE,01JH6EG3TSBYEJ9FEXT82YTFWY,22,Male,"split figures into sections of top and bottom and describe top and bottom as either flat or split, then number of legs and shape. also if shape is symmetrical or not. White shape in middle is a free pass basically. ","Yes they responded quickly and used the same strategy and it felt like we adopted an understanding of our ""language"" at the end. ",No problems. Fun game! Thanks. ,high-school,NA
